School_Name	School_Year	Reported_enrollment	Percent_complete_for_all_immunizations	Percent_conditional	Percent_out_of_compliance	Percent_with_any_exemption	Percent_with_medical_exemption	Percent_with_personal_exemption	Percent_with_religious_exemption	Percent_with_religious_membership_exemption	Percent_complete_for_diphtheria_tetanus	Percent_complete_for_pertussis	Percent_complete_for_measles_mumps_rubella	Percent_complete_for_polio	Percent_complete_for_HepatitisB	Percent_complete_for_varicella	Number_complete_for_all_immunizations	Number_conditional	Number_out_of_compliance	Number_with_any_exemption	Number_with_medical_exemption	Number_with_personal_exemption	Number_with_religious_exemption	Number_with_religious_membership_exemption	Number_incomplete_for_diphtheria_tetanus	Number_incomplete_for_pertussis	Number_incomplete_for_measles_mumps_rubella	Number_incomplete_for_polio	Number_incomplete_for_HepatitisB	Number_incomplete_for_varicella	Reported	School_Type	School_District	Address	City	County	ESD	Grade_Levels	Has_kindergarten	Has_6thGrade
BONNEY LAKE CHRISTIAN ACADEMY	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	SUMNER SCHOOL DISTRICT	8201 LOCUST AVE E	BONNEY LAKE	PIERCE	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	PK-6	Y	Y
BOW LAKE ELEMENTARY	2015-16	90	72.2%	1.1%	26.7%	0%	0%	0%	0%	0%	77.8%	77.8%	96.7%	96.7%	95.6%	95.6%	65	1	24	0	0	0	0	0	20	20	3	3	4	4	Y	PUBLIC SCHOOL	HIGHLINE SCHOOL DISTRICT	18237 42ND AVE S	SEATAC	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	PK-6	Y	Y
BOWDISH MIDDLE SCHOOL	2015-16	157	84.1%	0%	12.7%	3.2%	0%	3.2%	0%	0%	97.5%	84.7%	98.1%	98.1%	98.7%	97.5%	132	0	20	5	0	5	0	0	4	24	3	3	2	4	Y	PUBLIC SCHOOL	CENTRAL VALLEY SCHOOL DISTRICT	2109 S SKIPWORTH ROAD	SPOKANE VALLEY	SPOKANE	EDUCATIONAL SERVICE DISTRICT 101	6-8	N	Y
BRENTWOOD ELEMENTARY SCHOOL	2015-16	97	89.7%	0%	3.1%	7.2%	0%	7.2%	0%	0%	90.7%	90.7%	94.8%	93.8%	93.8%	92.8%	87	0	3	7	0	7	0	0	9	9	5	6	6	7	Y	PUBLIC SCHOOL	MEAD SCHOOL DISTRICT	406 W REGINA AVE	SPOKANE	SPOKANE	EDUCATIONAL SERVICE DISTRICT 101	K -6	Y	Y
BREWSTER ELEMENTARY SCHOOL	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PUBLIC SCHOOL	BREWSTER SCHOOL DISTRICT	P.O. BOX 97	BREWSTER	OKANOGAN	NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171	PK-6	Y	Y
BRIARCREST ELEMENTARY	2015-16	78	96.2%	1.3%	0%	2.6%	0%	2.6%	0%	0%	97.4%	98.7%	98.7%	97.4%	96.2%	97.4%	75	1	0	2	0	2	0	0	2	1	1	2	3	2	Y	PUBLIC SCHOOL	SHORELINE SCHOOL DISTRICT	2715 N.E. 158TH STREET	SHORELINE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K -6	Y	Y
BRIDGEPORT MIDDLE SCHOOL	2015-16	59	23.7%	0%	66.1%	10.2%	1.7%	6.8%	0%	1.7%	72.9%	72.9%	88.1%	94.9%	96.6%	84.7%	14	0	39	6	1	4	0	1	16	16	7	3	2	9	Y	PUBLIC SCHOOL	BRIDGEPORT SCHOOL DISTRICT	1300 DOUGLAS	BRIDGEPORT	DOUGLAS	NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171	6-8	N	Y
BRIER ELEMENTARY	2015-16	48	72.9%	0%	16.7%	10.4%	4.2%	6.3%	0%	0%	77.1%	77.1%	91.7%	91.7%	95.8%	87.5%	35	0	8	5	2	3	0	0	11	11	4	4	2	6	Y	PUBLIC SCHOOL	EDMONDS SCHOOL DISTRICT	3625 232ND ST SW	BRIER	SNOHOMISH	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	K -6	Y	Y
BRIGHT WATER SCHOOL	2015-16	9	66.7%	0%	0%	33.3%	0%	33.3%	0%	0%	77.8%	88.9%	88.9%	77.8%	77.8%	88.9%	6	0	0	3	0	3	0	0	2	1	1	2	2	1	Y	PRIVATE SCHOOL	SEATTLE PUBLIC SCHOOLS	1501 TENTH AVE E  SUITE 100	SEATTLE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	P-8	Y	Y
BRIGHTMONT ACADEMY--BELLEVUE CAMPUS	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	BELLEVUE SCHOOL DISTRICT	12360 NE 8TH ST  SUITE 210	BELLEVUE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-12	N	Y
BRIGHTMONT ACADEMY--SAMMAMISH CAMPUS	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	LAKE WASHINGTON SCHOOL DISTRICT	711 228TH AVE NE	SAMMAMISH	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-12	N	Y
BRIGHTMONT ACADEMY--SEATTLE CAMPUS	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	SEATTLE PUBLIC SCHOOLS	9750 THIRD AVE NE  STE 102	SEATTLE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-12	N	Y
BRIGHTON SCHOOL	2015-16	20	30%	0%	70%	0%	0%	0%	0%	0%	30%	100%	100%	100%	100%	100%	6	0	14	0	0	0	0	0	14	0	0	0	0	0	Y	PRIVATE SCHOOL	EDMONDS SCHOOL DISTRICT	6717 212TH ST SW	LYNNWOOD	SNOHOMISH	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	P-8	Y	Y
BRINNON ELEMENTARY	2015-16	8	62.5%	0%	37.5%	0%	0%	0%	0%	0%	62.5%	62.5%	100%	100%	100%	100%	5	0	3	0	0	0	0	0	3	3	0	0	0	0	Y	PUBLIC SCHOOL	BRINNON SCHOOL DISTRICT	46 SCHOOLHOUSE RD	BRINNON	JEFFERSON	OLYMPIC EDUCATIONAL SERVICE DISTRICT 114	K -8	Y	Y
BROADVIEW-THOMSON K-8 SCHOOL	2015-16	57	45.6%	0%	50.9%	3.5%	3.5%	1.8%	1.8%	0%	45.6%	45.6%	87.7%	89.5%	91.2%	87.7%	26	0	29	2	2	1	1	0	31	31	7	6	5	7	Y	PUBLIC SCHOOL	SEATTLE PUBLIC SCHOOLS	13052 GREENWOOD AV N	SEATTLE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	PK-8	Y	Y
BROOKLAKE CHRISTIAN SCHOOL	2015-16	2	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	2	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	FEDERAL WAY SCHOOL DISTRICT	629 S 356TH ST	FEDERAL WAY	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	P-6	Y	Y
BROOKSIDE ELEMENTARY	2015-16	73	91.8%	1.4%	1.4%	5.5%	0%	5.5%	0%	0%	95.9%	95.9%	100%	98.6%	95.9%	98.6%	67	1	1	4	0	4	0	0	3	3	0	1	3	1	Y	PUBLIC SCHOOL	SHORELINE SCHOOL DISTRICT	17447 37TH AVENUE N.E.	LAKE FOREST PARK	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K -6	Y	Y
BROUILLET ELEMENTARY	2015-16	113	95.6%	0%	0%	4.4%	0%	4.4%	0%	0%	98.2%	96.5%	98.2%	98.2%	98.2%	98.2%	108	0	0	5	0	5	0	0	2	4	2	2	2	2	Y	PUBLIC SCHOOL	PUYALLUP SCHOOL DISTRICT	17207 94TH AVE E	PUYALLUP	PIERCE	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K -6	Y	Y
BROWNE ELEMENTARY	2015-16	55	87.3%	0%	0%	12.7%	0%	10.9%	1.8%	0%	92.7%	92.7%	92.7%	92.7%	90.9%	89.1%	48	0	0	7	0	6	1	0	4	4	4	4	5	6	Y	PUBLIC SCHOOL	SPOKANE SCHOOL DISTRICT	5102 N DRISCOLL BLVD	SPOKANE	SPOKANE	EDUCATIONAL SERVICE DISTRICT 101	PK-6	Y	Y
BROWNSVILLE ELEMENTARY	2015-16	64	96.9%	0%	0%	3.1%	0%	3.1%	0%	0%	98.4%	98.4%	98.4%	98.4%	98.4%	96.9%	62	0	0	2	0	2	0	0	1	1	1	1	1	2	Y	PUBLIC SCHOOL	CENTRAL KITSAP SCHOOL DISTRICT	8795 ILLAHEE RD NE	BREMERTON	KITSAP	OLYMPIC EDUCATIONAL SERVICE DISTRICT 114	K -6	Y	Y
BRYANT CENTER	2015-16	59	79.7%	1.7%	3.4%	15.3%	5.1%	8.5%	1.7%	0%	89.8%	89.8%	96.6%	94.9%	94.9%	84.7%	47	1	2	9	3	5	1	0	6	6	2	3	3	9	Y	PUBLIC SCHOOL	SPOKANE SCHOOL DISTRICT	N 910 ASH ST	SPOKANE	SPOKANE	EDUCATIONAL SERVICE DISTRICT 101	PK-12	Y	Y
BRYANT MONTESSORI SCHOOL	2015-16	51	80.4%	0%	7.8%	11.8%	3.9%	5.9%	2%	0%	90.2%	82.4%	92.2%	90.2%	90.2%	88.2%	41	0	4	6	2	3	1	0	5	9	4	5	5	6	Y	PUBLIC SCHOOL	TACOMA SCHOOL DISTRICT	717 S GRANT AVE	TACOMA	PIERCE	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	PK-8	Y	Y
BUENA VISTA SDA SCHOOL	2015-16	27	85.2%	0%	7.4%	7.4%	0%	7.4%	0%	0%	85.2%	85.2%	100%	100%	100%	100%	23	0	2	2	0	2	0	0	4	4	0	0	0	0	Y	PRIVATE SCHOOL	AUBURN SCHOOL DISTRICT	3320 ACADEMY DR SE	AUBURN	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K-8	Y	Y
BURLEY CHRISTIAN SCHOOL	2015-16	5	60%	0%	0%	40%	0%	40%	0%	0%	60%	60%	60%	60%	60%	60%	3	0	0	2	0	2	0	0	2	2	2	2	2	2	Y	PRIVATE SCHOOL	SOUTH KITSAP SCHOOL DISTRICT	14687 OLYMPIC DR SE	PORT ORCHARD	KITSAP	OLYMPIC EDUCATIONAL SERVICE DISTRICT 114	P-12	Y	Y
BURLEY GLENWOOD ELEMENTARY	2015-16	71	98.6%	0%	1.4%	0%	0%	0%	0%	0%	97.2%	97.2%	100%	100%	98.6%	100%	70	0	1	0	0	0	0	0	2	2	0	0	1	0	Y	PUBLIC SCHOOL	SOUTH KITSAP SCHOOL DISTRICT	100 SW LAKEWAY BLVD	PORT ORCHARD	KITSAP	OLYMPIC EDUCATIONAL SERVICE DISTRICT 114	K -6	Y	Y
CALVARY CHAPEL CHRISTIAN SCHOOL	2015-16	1	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	CENTRAL VALLEY SCHOOL DISTRICT	16409 E BROADWAY AVE	SPOKANE	SPOKANE	EDUCATIONAL SERVICE DISTRICT 101	P-8	Y	Y
CALVARY CHRISTIAN SCHOOL	2015-16	13	84.6%	0%	0%	15.4%	0%	15.4%	0%	0%	84.6%	84.6%	84.6%	84.6%	84.6%	84.6%	11	0	0	2	0	2	0	0	2	2	2	2	2	2	Y	PRIVATE SCHOOL	KENNEWICK SCHOOL DISTRICT	10611 W CLEARWATER AVE	KENNEWICK	BENTON	EDUCATIONAL SERVICE DISTRICT 123	P-8	Y	Y
CAM ACADEMY	2015-16	60	83.3%	0%	3.3%	13.3%	0%	11.7%	1.7%	0%	85%	85%	91.7%	91.7%	91.7%	88.3%	50	0	2	8	0	7	1	0	9	9	5	5	5	7	Y	PUBLIC SCHOOL	BATTLE GROUND SCHOOL DISTRICT	715 NW ONSDORFF BLVD	BATTLE GROUND	CLARK	EDUCATIONAL SERVICE DISTRICT 112	3-12	N	Y
CAMAS CHRISTIAN ACADEMY (BRIGHT FUTURES CHRISTIAN SCHOOL)	2015-16	7	85.7%	0%	0%	14.3%	0%	0%	0%	14.3%	85.7%	85.7%	85.7%	85.7%	85.7%	85.7%	6	0	0	1	0	0	0	1	1	1	1	1	1	1	Y	PRIVATE SCHOOL	CAMAS SCHOOL DISTRICT	717 SE EVERETT RD	CAMAS	CLARK	EDUCATIONAL SERVICE DISTRICT 112	P-6	Y	Y
CAMAS PRAIRIE ELEMENTARY	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PUBLIC SCHOOL	BETHEL SCHOOL DISTRICT	320  176TH ST E	SPANAWAY	PIERCE	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K -6	Y	Y
CAN LEARN ACADEMY	2015-16																														N	PRIVATE SCHOOL	MEAD SCHOOL DISTRICT	8415 N WALL ST SUITE B291	SPOKANE	SPOKANE	EDUCATIONAL SERVICE DISTRICT 101	K-12	Y	Y
CANYON CREEK ELEMENTARY	2015-16	113	87.6%	0%	5.3%	7.1%	2.7%	3.5%	0.9%	0.9%	92%	92%	96.5%	96.5%	95.6%	94.7%	99	0	6	8	3	4	1	1	9	9	4	4	5	6	Y	PUBLIC SCHOOL	NORTHSHORE SCHOOL DISTRICT	21400 35 AV SE	BOTHELL	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K -6	Y	Y
CANYON CREEK MIDDLE SCHOOL	2015-16	83	81.9%	0%	7.2%	10.8%	2.4%	7.2%	0%	1.2%	89.2%	89.2%	96.4%	96.4%	96.4%	94%	68	0	6	9	2	6	0	1	9	9	3	3	3	5	Y	PUBLIC SCHOOL	WASHOUGAL SCHOOL DISTRICT	9731 WASHOUGAL RIVER RD	WASHOUGAL	CLARK	EDUCATIONAL SERVICE DISTRICT 112	6-8	N	Y
CARBONADO HISTORICAL SCHOOL 19	2015-16	25	96%	0%	0%	4%	0%	4%	0%	0%	96%	96%	96%	96%	96%	96%	24	0	0	1	0	1	0	0	1	1	1	1	1	1	Y	PUBLIC SCHOOL	CARBONADO SCHOOL DISTRICT	427 4TH ST	CARBONADO	PIERCE	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K -8	Y	Y
CARDEN COUNTRY SCHOOL	2015-16	5	80%	0%	0%	20%	0%	20%	0%	0%	80%	80%	80%	80%	80%	80%	4	0	0	1	0	1	0	0	1	1	1	1	1	1	Y	PRIVATE SCHOOL	BAINBRIDGE ISLAND SCHOOL DISTRICT	6974 ISLAND CENTER RD NE	BAINBRIDGE ISLAND	KITSAP	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K-12	Y	Y
CARMICHAEL MIDDLE SCHOOL	2015-16	304	81.3%	0%	15.1%	3.6%	0%	3.3%	0.3%	0%	84.9%	84.9%	99.3%	99.7%	99.7%	99.3%	247	0	46	11	0	10	1	0	46	46	2	1	1	2	Y	PUBLIC SCHOOL	RICHLAND SCHOOL DISTRICT	620 THAYER DRIVE	RICHLAND	BENTON	EDUCATIONAL SERVICE DISTRICT 123	6-8	N	Y
CARRIAGE CREST ELEMENTARY SCHOOL	2015-16	49	98%	0%	0%	2%	0%	2%	0%	0%	100%	100%	100%	100%	100%	98%	48	0	0	1	0	1	0	0	0	0	0	0	0	1	Y	PUBLIC SCHOOL	KENT SCHOOL DISTRICT	18235 140TH AVE SE	RENTON	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K -6	Y	Y
CARSON ELEMENTARY	2015-16	54	3.7%	0%	85.2%	11.1%	0%	7.4%	1.9%	1.9%	3.7%	3.7%	94.4%	94.4%	90.7%	92.6%	2	0	46	6	0	4	1	1	52	52	3	3	5	4	Y	PUBLIC SCHOOL	STEVENSON-CARSON SCHOOL DISTRICT	350 NW ROOSEVELT ST.	STEVENSON	SKAMANIA	EDUCATIONAL SERVICE DISTRICT 112	3-6	N	Y
CARSON ELEMENTARY	2015-16	134	96.3%	0%	0.7%	3%	0.7%	2.2%	0%	0%	99.3%	97%	99.3%	99.3%	98.5%	98.5%	129	0	1	4	1	3	0	0	1	4	1	1	2	2	Y	PUBLIC SCHOOL	PUYALLUP SCHOOL DISTRICT	8615 182ND ST E	PUYALLUP	PIERCE	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	PK-6	Y	Y
CASCADE CHRISTIAN ACADEMY	2015-16	10	90%	0%	10%	0%	0%	0%	0%	0%	90%	90%	90%	90%	90%	90%	9	0	1	0	0	0	0	0	1	1	1	1	1	1	Y	PRIVATE SCHOOL	WENATCHEE SCHOOL DISTRICT	600 N WESTERN AVE	WENATCHEE	CHELAN	NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171	P-12	Y	Y
CASCADE CHRISTIAN SCHOOL--PUYALLUP ELEMENTARY	2015-16	51	84.3%	0%	0%	15.7%	3.9%	11.8%	0%	0%	92.2%	92.2%	94.1%	96.1%	92.2%	84.3%	43	0	0	8	2	6	0	0	4	4	3	2	4	8	Y	PRIVATE SCHOOL	PUYALLUP SCHOOL DISTRICT	601 9TH AVE SE	PUYALLUP	PIERCE	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K-6	Y	Y
CASCADE CHRISTIAN SCHOOLS--FREDRICKSON ELEMENTARY	2015-16	13	76.9%	0%	15.4%	7.7%	0%	7.7%	0%	0%	84.6%	84.6%	92.3%	92.3%	100%	92.3%	10	0	2	1	0	1	0	0	2	2	1	1	0	1	Y	PRIVATE SCHOOL	BETHEL SCHOOL DISTRICT	3425 176TH ST E	TACOMA	PIERCE	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	P-6	Y	Y
CASCADE CHRISTIAN SCHOOLS--TACOMA ELEMENTARY	2015-16	8	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	8	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	TACOMA SCHOOL DISTRICT	1819 E 72ND ST	TACOMA	PIERCE	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	P-6	Y	Y
CASCADE INDEPENDENT HIGH SCHOOL	2015-16																														N	PRIVATE SCHOOL	ENUMCLAW SCHOOL DISTRICT	1849 MARSHALL AVE	ENUMCLAW	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	5-12	N	Y
CASCADE K-8 COMMUNITY SCHOOL (ROOM NINE)	2015-16	28	82.1%	3.6%	0%	14.3%	0%	14.3%	0%	0%	96.4%	96.4%	92.9%	92.9%	89.3%	85.7%	23	1	0	4	0	4	0	0	1	1	2	2	3	4	Y	PUBLIC SCHOOL	SHORELINE SCHOOL DISTRICT	17077 MERIDIAN AVE N	SHORELINE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K -8	Y	Y
CASCADE MIDDLE SCHOOL	2015-16	189	87.3%	0.5%	8.5%	3.7%	1.1%	2.6%	0.5%	0.5%	88.4%	88.9%	96.8%	96.8%	97.4%	96.3%	165	1	16	7	2	5	1	1	22	21	6	6	5	7	Y	PUBLIC SCHOOL	LONGVIEW SCHOOL DISTRICT	2821 PARKVIEW DRIVE	LONGVIEW	COWLITZ	EDUCATIONAL SERVICE DISTRICT 112	6-8	N	Y
CASCADE MIDDLE SCHOOL	2015-16	241	66.4%	0.8%	29.9%	2.9%	0.4%	2.5%	0%	0%	68%	68.9%	95.4%	95.9%	96.3%	95.9%	160	2	72	7	1	6	0	0	77	75	11	10	9	10	Y	PUBLIC SCHOOL	AUBURN SCHOOL DISTRICT	1015 24TH ST NE	AUBURN	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-8	N	Y
CASCADE MIDDLE SCHOOL	2015-16	280	59.3%	0.4%	31.4%	8.9%	0.4%	7.1%	1.1%	0.4%	65%	65.7%	93.6%	92.9%	90.7%	88.9%	166	1	88	25	1	20	3	1	98	96	18	20	26	31	Y	PUBLIC SCHOOL	EVERGREEN SCHOOL DISTRICT (CLARK)	13900 NE 18TH STREET	VANCOUVER	CLARK	EDUCATIONAL SERVICE DISTRICT 112	6-8	N	Y
CASCADE VIEW ELEMENTARY	2015-16	73	90.4%	0%	0%	9.6%	0%	8.2%	1.4%	0%	93.2%	97.3%	93.2%	94.5%	94.5%	91.8%	66	0	0	7	0	6	1	0	5	2	5	4	4	6	Y	PUBLIC SCHOOL	SNOHOMISH SCHOOL DISTRICT	2401 PARK AVENUE	SNOHOMISH	SNOHOMISH	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	K -6	Y	Y
CASCADE VISTA BAPTIST SCHOOL	2015-16																														N	PRIVATE SCHOOL	FEDERAL WAY SCHOOL DISTRICT	11517 SE 208TH ST	KENT	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	PK-12	Y	Y
CASCADES MONTESSORI MIDDLE SCHOOL	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	BELLINGHAM SCHOOL DISTRICT	2710 MCKENZIE AVE	BELLINGHAM	WHATCOM	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	7-8	Y	Y
CASCADIA ELEMENTARY	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PUBLIC SCHOOL	FERNDALE SCHOOL DISTRICT	6175 CHURCH RD	FERNDALE	WHATCOM	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	PK-6	Y	Y
CASCADIA SCHOOL	2015-16	4	0%	75%	0%	25%	0%	25%	0%	0%	0%	75%	75%	75%	75%	75%	0	3	0	1	0	1	0	0	4	1	1	1	1	1	Y	PRIVATE SCHOOL	EVERGREEN SCHOOL DISTRICT (CLARK)	10606 NE 14TH ST	VANCOUVER	CLARK	EDUCATIONAL SERVICE DISTRICT 112	1-8	N	Y
CASHMERE MIDDLE SCHOOL	2015-16	106	97.2%	0%	0.9%	1.9%	0%	1.9%	0%	0%	99.1%	99.1%	98.1%	100%	100%	98.1%	103	0	1	2	0	2	0	0	1	1	2	0	0	2	Y	PUBLIC SCHOOL	CASHMERE SCHOOL DISTRICT	300 TIGNER ROAD	CASHMERE	CHELAN	NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171	5-8	N	Y
CASTLE ROCK ELEMENTARY	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PUBLIC SCHOOL	CASTLE ROCK SCHOOL DISTRICT	700 HUNTINGTON AVE S	CASTLE ROCK	COWLITZ	EDUCATIONAL SERVICE DISTRICT 112	PK-6	Y	Y
CATALDO SCHOOL	2015-16	42	90.5%	0%	0%	9.5%	0%	9.5%	0%	0%	97.6%	97.6%	95.2%	97.6%	97.6%	92.9%	38	0	0	4	0	4	0	0	1	1	2	1	1	3	Y	PRIVATE SCHOOL	SPOKANE SCHOOL DISTRICT	455 W 18TH AVE	SPOKANE	SPOKANE	EDUCATIONAL SERVICE DISTRICT 101	P-8	Y	Y
CATHARINE BLAINE K-8 SCHOOL	2015-16	79	36.7%	0%	55.7%	7.6%	3.8%	6.3%	0%	0%	43%	43%	97.5%	92.4%	92.4%	88.6%	29	0	44	6	3	5	0	0	45	45	2	6	6	9	Y	PUBLIC SCHOOL	SEATTLE PUBLIC SCHOOLS	2550 34 AV W	SEATTLE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K -8	Y	Y
CATHCART ELEMENTARY	2015-16	88	87.5%	1.1%	1.1%	10.2%	2.3%	6.8%	1.1%	0%	93.2%	93.2%	95.5%	95.5%	89.8%	94.3%	77	1	1	9	2	6	1	0	6	6	4	4	9	5	Y	PUBLIC SCHOOL	SNOHOMISH SCHOOL DISTRICT	8201 188TH ST SE	SNOHOMISH	SNOHOMISH	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	K -6	Y	Y
CEDAR PARK CHRISTIAN SCHOOL--LYNNWOOD CAMPUS	2015-16	8	87.5%	0%	0%	12.5%	0%	12.5%	0%	0%	87.5%	87.5%	87.5%	87.5%	87.5%	87.5%	7	0	0	1	0	1	0	0	1	1	1	1	1	1	Y	PRIVATE SCHOOL	EDMONDS SCHOOL DISTRICT	17931 64TH AVE W	LYNNWOOD	SNOHOMISH	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	P-6	Y	Y
CEDAR PARK CHRISTIAN SCHOOL--MILL CREEK (EVERETT) CAMPUS	2015-16	7	71.4%	0%	0%	28.6%	0%	28.6%	0%	0%	71.4%	71.4%	71.4%	71.4%	71.4%	71.4%	5	0	0	2	0	2	0	0	2	2	2	2	2	2	Y	PRIVATE SCHOOL	EVERETT SCHOOL DISTRICT	13000 21ST DR SE	EVERETT	SNOHOMISH	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	P-8	Y	Y
CEDAR PARK CHRISTIAN SCHOOLS	2015-16	60	85%	1.7%	0%	13.3%	3.3%	10%	0%	0%	90%	90%	95%	95%	95%	90%	51	1	0	8	2	6	0	0	6	6	3	3	3	6	Y	PRIVATE SCHOOL	NORTHSHORE SCHOOL DISTRICT	16300 112TH AVE NE	BOTHELL	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	P-12	Y	Y
CEDAR RIVER ACADEMY	2015-16																														N	PRIVATE SCHOOL	ENUMCLAW SCHOOL DISTRICT	1640 FELL ST	ENUMCLAW	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	P-8	Y	Y
CEDAR RIVER MIDDLE SCHOOL	2015-16	318	93.4%	0%	2.8%	3.8%	0.6%	3.1%	0%	0%	95.3%	95.3%	98.4%	98.4%	97.8%	96.9%	297	0	9	12	2	10	0	0	15	15	5	5	7	10	Y	PUBLIC SCHOOL	TAHOMA SCHOOL DISTRICT	22615 SWEENEY ROAD SE	MAPLE VALLEY	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-7	N	Y
CEDAR RIVER MONTESSORI SCHOOL	2015-16	4	75%	25%	0%	0%	0%	0%	0%	0%	100%	100%	100%	75%	100%	100%	3	1	0	0	0	0	0	0	0	0	0	1	0	0	Y	PRIVATE SCHOOL	TAHOMA SCHOOL DISTRICT	15828 SE JONES RD	RENTON	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	P-9	Y	Y
CEDAR TREE CLASSICAL CHRISTIAN SCHOOL	2015-16	18	61.1%	16.7%	0%	22.2%	0%	22.2%	0%	0%	66.7%	66.7%	88.9%	88.9%	77.8%	83.3%	11	3	0	4	0	4	0	0	6	6	2	2	4	3	Y	PRIVATE SCHOOL	BATTLE GROUND SCHOOL DISTRICT	20601 NE 29TH AVE	RIDGEFIELD	CLARK	EDUCATIONAL SERVICE DISTRICT 112	K-12	Y	Y
